File Name,Target ID,Image ID,Race,Gender,Expression,Face++ Gender,Face++ Age,Face++ Emotion,Face++ Smiling
CFD-BM-015-012-A.jpg,BM-015,012,B,M,A,Male,38,anger,False
CFD-BF-039-031-N.jpg,BF-039,031,B,F,N,Female,24,neutral,False
CFD-BF-048-006-HC.jpg,BF-048,006,B,F,HC,Female,52,happiness,True
CFD-AM-218-085-N.jpg,AM-218,085,A,M,N,Male,42,neutral,False
CFD-AF-249-092-N.jpg,AF-249,092,A,F,N,Female,35,surprise,False
CFD-BM-046-006-N.jpg,BM-046,006,B,M,N,Male,28,neutral,False
CFD-WF-016-024-F.jpg,WF-016,024,W,F,F,Female,41,sadness,False
CFD-LF-244-096-N.jpg,LF-244,096,L,F,N,Female,30,neutral,False
CFD-BM-036-004-HO.jpg,BM-036,004,B,M,HO,Male,22,happiness,True
CFD-BM-003-030-A.jpg,BM-003,030,B,M,A,Male,26,surprise,False
CFD-WF-238-023-N.jpg,WF-238,023,W,F,N,Female,31,neutral,False
CFD-BF-013-001-N.jpg,BF-013,001,B,F,N,Female,27,neutral,False
CFD-AM-205-153-N.jpg,AM-205,153,A,M,N,Male,43,neutral,False
CFD-WF-024-029-A.jpg,WF-024,029,W,F,A,Female,37,anger,False
CFD-BF-019-023-A.jpg,BF-019,023,B,F,A,Male,46,anger,False
CFD-LM-203-026-N.jpg,LM-203,026,L,M,N,Male,48,neutral,False
CFD-WM-009-002-N.jpg,WM-009,002,W,M,N,Male,25,neutral,False
CFD-AF-237-223-N.jpg,AF-237,223,A,F,N,Female,45,disgust,False
CFD-BF-011-011-A.jpg,BF-011,011,B,F,A,Female,39,neutral,False
CFD-BF-027-013-HC.jpg,BF-027,013,B,F,HC,Female,63,happiness,True
CFD-WF-027-014-A.jpg,WF-027,014,W,F,A,Female,36,anger,True
CFD-BM-002-011-HC.jpg,BM-002,011,B,M,HC,Male,40,happiness,True
CFD-BF-015-025-F.jpg,BF-015,025,B,F,F,Female,41,neutral,False
CFD-BF-050-036-F.jpg,BF-050,036,B,F,F,Female,35,surprise,False
CFD-WF-019-015-A.jpg,WF-019,015,W,F,A,Female,45,sadness,False
CFD-BM-025-040-HO.jpg,BM-025,040,B,M,HO,Male,36,happiness,True
CFD-BM-040-013-A.jpg,BM-040,013,B,M,A,Male,36,sadness,False
CFD-LM-250-077-N.jpg,LM-250,077,L,M,N,Male,24,disgust,False
CFD-BF-004-002-F.jpg,BF-004,002,B,F,F,Female,28,surprise,False
CFD-WM-004-002-F.jpg,WM-004,002,W,M,F,Male,27,surprise,False
CFD-BF-023-012-HC.jpg,BF-023,012,B,F,HC,Male,22,happiness,True
CFD-WF-014-009-HC.jpg,WF-014,009,W,F,HC,Female,44,happiness,True
CFD-BM-011-016-N.jpg,BM-011,016,B,M,N,Male,27,neutral,False
CFD-WM-037-025-N.jpg,WM-037,025,W,M,N,Male,22,neutral,False
CFD-BF-007-024-F.jpg,BF-007,024,B,F,F,Female,39,surprise,False
CFD-BM-045-061-A.jpg,BM-045,061,B,M,A,Male,32,anger,False
CFD-BF-222-240-N.jpg,BF-222,240,B,F,N,Female,32,surprise,False
CFD-BF-227-137-N.jpg,BF-227,137,B,F,N,Male,25,neutral,False
CFD-BF-039-008-HC.jpg,BF-039,008,B,F,HC,Female,32,happiness,True
CFD-WM-002-017-A.jpg,WM-002,017,W,M,A,Male,30,neutral,False
CFD-WF-229-004-N.jpg,WF-229,004,W,F,N,Male,29,neutral,False
CFD-LF-208-127-N.jpg,LF-208,127,L,F,N,Female,25,neutral,False
CFD-WM-023-012-A.jpg,WM-023,012,W,M,A,Male,47,neutral,False
CFD-WM-019-013-A.jpg,WM-019,013,W,M,A,Male,39,disgust,False
CFD-BF-027-016-F.jpg,BF-027,016,B,F,F,Female,49,surprise,False
CFD-BM-033-029-HO.jpg,BM-033,029,B,M,HO,Male,54,happiness,True
CFD-BF-049-039-A.jpg,BF-049,039,B,F,A,Male,23,disgust,False
CFD-WF-200-099-N.jpg,WF-200,099,W,F,N,Female,46,fear,False
CFD-BF-241-222-N.jpg,BF-241,222,B,F,N,Female,32,neutral,False
CFD-BF-031-062-F.jpg,BF-031,062,B,F,F,Female,32,happiness,True
CFD-WF-003-007-HC.jpg,WF-003,007,W,F,HC,Female,45,happiness,True
CFD-WF-022-019-HO.jpg,WF-022,019,W,F,HO,Female,25,happiness,True
CFD-BM-040-030-HO.jpg,BM-040,030,B,M,HO,Male,26,happiness,True
CFD-LF-201-035-N.jpg,LF-201,035,L,F,N,Female,42,neutral,False
CFD-AM-243-212-N.jpg,AM-243,212,A,M,N,Male,34,neutral,False
CFD-WF-033-041-HC.jpg,WF-033,041,W,F,HC,Female,49,happiness,True
CFD-WM-209-038-N.jpg,WM-209,038,W,M,N,Male,23,neutral,False
CFD-LM-208-110-N.jpg,LM-208,110,L,M,N,Male,25,neutral,False
CFD-LM-210-156-N.jpg,LM-210,156,L,M,N,Male,26,neutral,False
CFD-AM-245-111-N.jpg,AM-245,111,A,M,N,Male,31,neutral,False
CFD-WF-005-022-A.jpg,WF-005,022,W,F,A,Male,38,disgust,False
CFD-BF-250-121-N.jpg,BF-250,121,B,F,N,Female,30,neutral,False
CFD-BF-045-068-A.jpg,BF-045,068,B,F,A,Male,24,neutral,False
CFD-WM-032-014-A.jpg,WM-032,014,W,M,A,Male,30,neutral,False
CFD-WM-210-057-N.jpg,WM-210,057,W,M,N,Male,20,neutral,False
CFD-BF-025-005-HO.jpg,BF-025,005,B,F,HO,Female,23,happiness,True
CFD-WF-022-014-F.jpg,WF-022,014,W,F,F,Female,34,disgust,True
CFD-BF-025-020-F.jpg,BF-025,020,B,F,F,Female,29,anger,False
CFD-BF-024-003-HC.jpg,BF-024,003,B,F,HC,Female,29,happiness,True
CFD-WM-240-125-N.jpg,WM-240,125,W,M,N,Male,41,neutral,False
CFD-AF-256-160-N.jpg,AF-256,160,A,F,N,Female,28,neutral,False
CFD-WM-006-039-F.jpg,WM-006,039,W,M,F,Male,27,surprise,False
CFD-BM-034-033-HO.jpg,BM-034,033,B,M,HO,Male,50,happiness,True
CFD-WF-228-196-N.jpg,WF-228,196,W,F,N,Female,37,neutral,False
CFD-AF-229-160-N.jpg,AF-229,160,A,F,N,Female,33,neutral,False
CFD-BF-203-184-N.jpg,BF-203,184,B,F,N,Female,65,fear,False
CFD-LF-248-160-N.jpg,LF-248,160,L,F,N,Female,38,neutral,False
CFD-BF-016-019-HC.jpg,BF-016,019,B,F,HC,Female,38,happiness,True
CFD-LF-232-199-N.jpg,LF-232,199,L,F,N,Female,35,neutral,True
CFD-BM-041-035-N.jpg,BM-041,035,B,M,N,Male,47,neutral,False
CFD-WM-034-027-F.jpg,WM-034,027,W,M,F,Male,43,surprise,False
CFD-AM-224-126-N.jpg,AM-224,126,A,M,N,Male,24,disgust,False
CFD-BM-033-038-F.jpg,BM-033,038,B,M,F,Male,44,surprise,False
CFD-BF-012-018-F.jpg,BF-012,018,B,F,F,Female,31,surprise,False
CFD-WM-011-019-F.jpg,WM-011,019,W,M,F,Male,39,surprise,False
CFD-BF-246-170-N.jpg,BF-246,170,B,F,N,Female,44,neutral,False
CFD-BF-006-008-HC.jpg,BF-006,008,B,F,HC,Male,27,happiness,True
CFD-BF-001-021-HC.jpg,BF-001,021,B,F,HC,Female,38,happiness,True
CFD-BM-016-042-A.jpg,BM-016,042,B,M,A,Male,36,neutral,False
CFD-WF-033-002-N.jpg,WF-033,002,W,F,N,Female,41,neutral,False
CFD-WM-002-008-HC.jpg,WM-002,008,W,M,HC,Male,34,happiness,True
CFD-BM-223-171-N.jpg,BM-223,171,B,M,N,Male,37,neutral,False
CFD-WM-215-041-N.jpg,WM-215,041,W,M,N,Male,28,neutral,False
CFD-BF-016-017-N.jpg,BF-016,017,B,F,N,Female,38,neutral,False
CFD-BM-017-064-F.jpg,BM-017,064,B,M,F,Male,59,fear,False
CFD-BF-008-003-HO.jpg,BF-008,003,B,F,HO,Female,33,happiness,True
CFD-WM-040-025-HC.jpg,WM-040,025,W,M,HC,Male,41,happiness,True
CFD-BF-031-051-HO.jpg,BF-031,051,B,F,HO,Female,35,happiness,True
CFD-AM-252-114-N.jpg,AM-252,114,A,M,N,Male,30,neutral,False
CFD-WM-018-005-HC.jpg,WM-018,005,W,M,HC,Male,41,neutral,False
CFD-WM-220-068-N.jpg,WM-220,068,W,M,N,Male,51,anger,False
CFD-BM-211-174-N.jpg,BM-211,174,B,M,N,Male,39,neutral,False
