File Name,Target ID,Gender,Emotion,Mouth,Microsoft Gender,Microsoft Age,Microsoft Emotion,Microsoft Smiling
01F_AN_O.BMP,01,F,AN,O,female,28.0,anger,0.0
01F_CA_C.BMP,01,F,CA,C,female,30.0,neutral,0.0
01F_CA_C.tiff,01,F,CA,C,female,30.0,neutral,0.0
01F_CA_O.BMP,01,F,CA,O,female,28.0,neutral,0.0
01F_CA_O.tiff,01,F,CA,O,female,28.0,neutral,0.0
01F_DI_C.BMP,01,F,DI,C,female,30.0,disgust,0.0
01F_DI_C.tiff,01,F,DI,C,female,30.0,disgust,0.0
01F_DI_O.BMP,01,F,DI,O,female,31.0,anger,0.0
01F_DI_O.tiff,01,F,DI,O,female,31.0,anger,0.0
01F_FE_C.BMP,01,F,FE,C,female,33.0,fear,0.0
01F_FE_C.tiff,01,F,FE,C,female,33.0,fear,0.0
01F_FE_O.BMP,01,F,FE,O,female,34.0,surprise,0.003
01F_FE_O.tiff,01,F,FE,O,female,34.0,surprise,0.003
01F_HA_C.BMP,01,F,HA,C,female,31.0,happiness,0.999
01F_HA_C.tiff,01,F,HA,C,female,31.0,happiness,0.999
01F_HA_O.BMP,01,F,HA,O,female,31.0,happiness,1.0
01F_HA_O.tiff,01,F,HA,O,female,31.0,happiness,1.0
01F_HA_X.BMP,01,F,HA,X,female,31.0,happiness,0.994
01F_HA_X.tiff,01,F,HA,X,female,31.0,happiness,0.994
01F_NE_C.BMP,01,F,NE,C,female,30.0,neutral,0.0
01F_NE_C.tiff,01,F,NE,C,female,30.0,neutral,0.0
01F_NE_O.BMP,01,F,NE,O,female,29.0,neutral,0.0
01F_NE_O.tiff,01,F,NE,O,female,29.0,neutral,0.0
01F_SA_C.BMP,01,F,SA,C,female,31.0,sadness,0.0
01F_SA_C.tiff,01,F,SA,C,female,31.0,sadness,0.0
01F_SA_O.BMP,01,F,SA,O,female,31.0,sadness,0.0
01F_SA_O.tiff,01,F,SA,O,female,31.0,sadness,0.0
01F_SP_O.BMP,01,F,SP,O,female,32.0,surprise,0.0
01F_SP_O.tiff,01,F,SP,O,female,32.0,surprise,0.0
01f_an_c.BMP,01,f,an,c,female,28.0,anger,0.0
02F_CA_C.BMP,02,F,CA,C,female,31.0,neutral,0.0
02F_FE_C.BMP,02,F,FE,C,female,33.0,surprise,0.0
02F_FE_O.BMP,02,F,FE,O,female,33.0,fear,0.0
02F_HA_C.BMP,02,F,HA,C,female,35.0,happiness,1.0
02F_HA_O.BMP,02,F,HA,O,female,36.0,happiness,1.0
02F_HA_X.BMP,02,F,HA,X,female,37.0,happiness,0.996
02F_NE_C.BMP,02,F,NE,C,female,32.0,neutral,0.0
